Date,Open,High,Low,close,Adj Close,Volume,sentiment_score,intensity_score,type_token_ratio
1994-04-18,0.272321,0.272321,0.261161,0.264509,0.219394,230294400,0.0,0.46948956622254673,0.0
1994-04-19,0.265625,0.267857,0.254464,0.258929,0.214766,166252800,0.0,0.46948956622254673,0.0
1994-04-20,0.261161,0.267857,0.25,0.252232,0.209211,281848000,0.0,0.46948956622254673,0.0
1994-04-21,0.254464,0.272321,0.241071,0.264509,0.219394,410536000,0.0,0.46948956622254673,0.0
1994-04-22,0.279018,0.285714,0.254464,0.265625,0.22032,697827200,0.0,0.46948956622254673,0.0
1994-04-25,0.265625,0.276786,0.263393,0.276786,0.229577,359240000,0.0,0.46948956622254673,0.0
1994-04-26,0.28125,0.28125,0.276786,0.279018,0.231428,164225600,0.0,0.46948956622254673,0.0
1994-04-28,0.276786,0.279018,0.265625,0.270089,0.224022,100475200,0.0,0.46948956622254673,0.0
1994-04-29,0.267857,0.272321,0.265625,0.267857,0.222171,94785600,0.0,0.46948956622254673,0.0
1994-05-02,0.267857,0.279018,0.267857,0.276786,0.229577,123222400,0.0,0.46948956622254673,0.0
1994-05-03,0.276786,0.279018,0.263393,0.270089,0.224022,132899200,0.0,0.46948956622254673,0.0
1994-05-04,0.276786,0.296875,0.272321,0.294643,0.244388,364156800,0.0,0.46948956622254673,0.0
1994-05-05,0.296875,0.301339,0.287946,0.293527,0.243463,288332800,0.0,0.46948956622254673,0.0
1994-05-06,0.287946,0.292411,0.279018,0.288504,0.239297,187779200,0.0,0.46948956622254673,0.0
1994-05-09,0.287946,0.290179,0.274554,0.279018,0.231428,140470400,0.0,0.46948956622254673,0.0
1994-05-10,0.283482,0.285714,0.276786,0.276786,0.229577,146843200,0.0,0.46948956622254673,0.0
1994-05-11,0.276786,0.28125,0.265625,0.270089,0.224022,145521600,0.0,0.46948956622254673,0.0
1994-05-12,0.272321,0.274554,0.263393,0.265067,0.219857,107105600,0.0,0.46948956622254673,0.0
1994-05-13,0.265625,0.272321,0.261161,0.267857,0.222171,92612800,0.0,0.46948956622254673,0.0
1994-05-16,0.267857,0.272321,0.263393,0.263393,0.218469,135385600,0.0,0.46948956622254673,0.0
1994-05-17,0.265625,0.265625,0.256696,0.262277,0.217543,180107200,0.0,0.46948956622254673,0.0
1994-05-18,0.265625,0.274554,0.261161,0.273438,0.2268,123860800,0.0,0.46948956622254673,0.0
1994-05-19,0.274554,0.290179,0.272321,0.28683,0.237908,273582400,0.0,0.46948956622254673,0.0
1994-05-20,0.283482,0.287946,0.276786,0.277344,0.23004,98145600,0.0,0.46948956622254673,0.0
1994-05-23,0.276786,0.279018,0.267857,0.272321,0.225874,119952000,0.0,0.46948956622254673,0.0
1994-05-24,0.276786,0.279018,0.270089,0.274554,0.227726,126448000,0.0,0.46948956622254673,0.0
1994-05-25,0.270089,0.283482,0.267857,0.279018,0.231428,136113600,0.0,0.46948956622254673,0.0
1994-05-26,0.28125,0.28125,0.270089,0.272321,0.225874,73035200,0.0,0.46948956622254673,0.0
1994-05-27,0.270089,0.274554,0.263393,0.267299,0.222584,108684800,0.0,0.46948956622254673,0.0
1994-05-31,0.263393,0.263393,0.254464,0.261161,0.217472,257398400,0.0,0.46948956622254673,0.0
1994-06-01,0.254464,0.25558,0.248884,0.252232,0.210037,385761600,0.0,0.46948956622254673,0.0
1994-06-02,0.253348,0.254464,0.242188,0.24442,0.203532,384921600,0.0,0.46948956622254673,0.0
1994-06-03,0.242188,0.25,0.238839,0.246652,0.205391,353684800,0.0,0.46948956622254673,0.0
1994-06-06,0.245536,0.247768,0.241071,0.24442,0.203532,126033600,0.0,0.46948956622254673,0.0
1994-06-07,0.243304,0.247768,0.243304,0.245536,0.204461,140246400,0.0,0.46948956622254673,0.0
1994-06-08,0.245536,0.246652,0.232143,0.233259,0.194238,274164800,0.0,0.46948956622254673,0.0
1994-06-09,0.228795,0.241071,0.227679,0.241071,0.200743,293529600,0.0,0.46948956622254673,0.0
1994-06-10,0.242188,0.24442,0.235491,0.236607,0.197026,142732800,0.0,0.46948956622254673,0.0
1994-06-13,0.235491,0.242746,0.235491,0.241071,0.200743,92904000,0.0,0.46948956622254673,0.0
1994-06-14,0.243304,0.24442,0.237723,0.241629,0.201208,154358400,0.0,0.46948956622254673,0.0
1994-06-15,0.241071,0.25,0.239955,0.248326,0.206785,159476800,0.0,0.46948956622254673,0.0
1994-06-16,0.247768,0.247768,0.233259,0.235491,0.196097,218220800,0.0,0.46948956622254673,0.0
1994-06-17,0.232143,0.238839,0.231027,0.236607,0.197026,224492800,0.0,0.46948956622254673,0.0
